name;x;y;srid;date:2005-01-01;date:2005-02-01;date:2005-03-01;date:2005-04-01;date:2005-05-01;date:2005-06-01;date:2005-07-01;date:2005-08-01;date:2005-09-01;date:2005-10-01;date:2005-11-01;date:2005-12-01;date:2006-01-01;date:2006-02-01;date:2006-03-01;date:2006-04-01;date:2006-05-01;date:2006-06-01;date:2006-07-01;date:2006-08-01;date:2006-09-01;date:2006-10-01;date:2006-11-01;date:2006-12-01;date:2007-01-01;date:2007-02-01;date:2007-03-01;date:2007-04-01;date:2007-05-01;date:2007-06-01;date:2007-07-01;date:2007-08-01;date:2007-09-01;date:2007-10-01;date:2007-11-01;date:2007-12-01
RP1;581332.2126;2332746.701;32648;4.82;4.69;4.79;4.84;5;6.73;10.04;10.7;7.79;6.08;5.54;4.41;3.99;3.85;4.34;4.8;6.11;7.07;9.5;10.62;7.73;6.24;6.48;4.53;4.35;4.25;4.66;5.72;5.1;5.18;10.14;9.19;8.07;7.52;4.99;4.52
RP28;591971.6239;2322548.176;32648;3.71;3.56;3.86;3.72;3.91;5.84;9.36;10.04;7.05;5.14;4.63;3.45;2.98;2.82;3.35;3.81;5.16;6.12;8.64;9.77;6.82;5.32;4.66;3.57;3.49;3.37;3.7;4.77;4.16;4.27;9.14;8.18;7.16;6.56;3.98;3.66
RP39;591273.9576;2316555.028;32648;2.87;2.54;2.97;2.58;2.85;5.16;8.84;7.92;6.83;4.73;4.16;2.79;2.14;1.92;2.37;2.89;4.11;5.37;7.76;8.11;6.11;5.2;5.2;2.65;2.43;2.19;2.69;3.69;3.54;3.29;7.68;7.35;6.28;5.48;3.14;2.73
