name;x;y;srid;date:2005-01-01;date:2005-02-01;date:2005-03-01;date:2005-04-01;date:2005-05-01;date:2005-06-01;date:2005-07-01;date:2005-08-01;date:2005-09-01;date:2005-10-01;date:2005-11-01;date:2005-12-01;date:2006-01-01;date:2006-02-01;date:2006-03-01;date:2006-04-01;date:2006-05-01;date:2006-06-01;date:2006-07-01;date:2006-08-01;date:2006-09-01;date:2006-10-01;date:2006-11-01;date:2006-12-01;date:2007-01-01;date:2007-02-01;date:2007-03-01;date:2007-04-01;date:2007-05-01;date:2007-06-01;date:2007-07-01;date:2007-08-01;date:2007-09-01;date:2007-10-01;date:2007-11-01;date:2007-12-01
H9;591194.7805;2316563.792;32648;3;5;4.16;2.58;2.85;5.16;8.84;7.92;6.83;2.79;2.14;1.92;2.37;2.89;4.11;5.37;7.76;2.54;8.11;6.11;5.2;5.2;2.65;2.43;2.19;2.69;3.69;3.54;2.97;3.29;7.68;7.35;6.28;5.48;3.14;2.73
Q68;588101.1211;2316909.403;32648;-12.16;-12.37;-12.87;-13.18;-13.47;-13.39;-12.93;-12.91;-12.7;-13.4;-13.12;-13.28;-13.81;-14.55;-14.5;-14.43;-13.7;-12.43;-13.28;-13.75;-13.91;-14.49;-14.76;-14.15;-14.19;-14.22;-14.79;-14.72;-12.99;-14.83;-14.34;-13.36;-13.86;-13.98;-14.77;-15.12
Q62;579820.6023;2326709.949;32648;-19.28;-19.75;-19.69;-19.32;-19.35;-19.4;-19.62;-19.71;-19.77;-19.74;-19.82;-19.85;-19.87;-19.95;-19.94;-19.83;-20.07;-19.35;-20.33;-20.51;-20.71;-20.88;-20.86;-20.95;-21;-20.98;-21.25;-21.25;-19.33;-21.25;-21.25;-21.25;-21.25;-21.25;-21.25;-21.25
HTTP4;581261.4858;2332709.589;32648;2.54;4.27;3.45;2.61;2.43;3.57;4.58;5.98;5.82;2.79;2.51;2.24;2.06;1.91;2.18;2.9;5.02;2.56;5.17;3.66;3.72;2.52;1.85;1.61;1.59;1.52;1.22;1.85;2.32;2.57;4.25;4.54;4.13;3.39;2.05;1.48
